pid;image;origin;blooming;color;size;soil;sunlight;watering;fertilization;pruning;max_light_mmol;min_light_mmol;max_light_lux;min_light_lux;max_temp;min_temp;max_env_humid;min_env_humid;max_soil_moist;min_soil_moist;max_soil_ec;min_soil_ec;max_pH;min_pH
Chives;http://pkb.resource.huahuacaocao.com/YWxsaXVtIHNjaG9lbm9wcmFzdW0uanBn?imageView2/1/w/%d/h/%d;China;Flowering and fruiting period April-July;Leaf color green , flower color purple;Diameter at 10 cm, height at 15 cm;Peat or soil with specific nutrients;Like sunshine, avoid high temperature and direct exposure to the sun in summer;Resistant to drought, water thoroughly after soil surface dries, avoid saturated water;Dilute fertilizers following instructions, apply 1-2 times monthly;Remove aged tissues, dead, rotten, diseased leaves timely;7200;3000;50000;3500;35;8;80;30;60;15;2000;350;7.0;6.0
Wild Garlic;http://pkb.resource.huahuacaocao.com/YWxsaXVtIHVyc2ludW0uanBn?imageView2/1/w/%d/h/%d;China;Flowering and fruiting period April-July;Leaf color green , flower color white;Diameter at 10 cm, height at 15 cm;Peat or soil with specific nutrients;Like sunshine, avoid high temperature and direct exposure to the sun in summer;Resistant to drought, water thoroughly after soil surface dries, avoid saturated water;Dilute fertilizers following instructions, apply 1-2 times monthly;Remove aged tissues, dead, rotten, diseased leaves timely;7200;3000;50000;3500;35;8;80;30;60;15;2000;350;7.0;5.5
Dill;http://pkb.resource.huahuacaocao.com/YW5ldGh1bSBncmF2ZW9sZW5zLmpwZw==?imageView2/1/w/%d/h/%d;Mediterranean coastal areas;Flowering period May-August, flowering period July-September;Flower color yellow, fruit color brown;Diameter at 15 cm, height at 25 cm;Peat or soil with specific nutrients;Like sunshine, grows in sunny places;Water thoroughly after soil surface dries, avoid saturated water;Dilute fertilizers following instructions, apply 1-2 times monthly;Remove aged tissues, dead, rotten, diseased leaves timely;5000;3500;50000;4000;35;5;80;30;60;15;2000;350;7.5;5.5
Tarragon;http://pkb.resource.huahuacaocao.com/YXJ0ZW1pc2lhIGRyYWN1bmN1bHVzLmpwZw==?imageView2/1/w/%d/h/%d;China;Flowering and fruiting periodJuly-October;Flower color white, light yellow;Diameter at 10 cm, height 15-18 cm;Peat or soil with specific nutrients;Like light, put in sunny places;Only need keep soil moist;Apply enough base fertilizers;No need pruning;6000;4000;60000;3700;35;5;80;30;60;15;2000;350;7.5;6.5
Borage;http://pkb.resource.huahuacaocao.com/Ym9yYWdvIG9mZmljaW5hbGlzLmpwZw==?imageView2/1/w/%d/h/%d;East Mediterranean coastal areas and Anatolia;Flowering period July;Flower color light red, blue, white, rose red;Diameter at 10 cm, height at 15 cm;Peat or soil with specific nutrients;Like sunshine, resistant to half shade, avoid strong direct light;Water thoroughly after soil surface dries, avoid saturated water;Dilute fertilizers following instructions, apply 1-2 times monthly;Remove aged tissues, dead, rotten, diseased leaves timely;4500;2500;30000;4000;35;8;80;30;60;15;2000;350;7.5;6.0
Cilantro;http://pkb.resource.huahuacaocao.com/Y29yaWFuZHJ1bSBzYXRpdnVtLmpwZw==?imageView2/1/w/%d/h/%d;Mediterranean coastal areas;Flowering and fruiting period April-November;Flower color white or with light purple, leaf color green;Diameter at 10 cm, height at 15 cm;Peat or soil with specific nutrients;Grows in sunny places;Likes wet environments, water thoroughly when soil is dry, avoid saturated water;Dilute fertilizers following instructions, apply 1-2 times monthly;Remove aged tissues, dead, rotten, diseased leaves timely;5000;3500;50000;4000;30;5;80;30;60;15;2000;350;7.8;6.1
Arugula;http://pkb.resource.huahuacaocao.com/ZXJ1Y2Egc2F0aXZhLmpwZw==?imageView2/1/w/%d/h/%d;China, Europe;Flowering period May-June, flowering period July-August;Flower color yellow, then white, with purple marks, fruit color brown;Diameter at 10 cm, height 15-18 cm;Deep loose and fertile soil;Like sunshine, resistant to half shade;Water thoroughly when soil is dry, avoid saturated water;Top-dressing weekly in vegetative stages;Remove dead and diseased branches timely;4500;2500;30000;3700;35;8;80;30;60;15;2000;350;7.5;6.0
Fennel;http://pkb.resource.huahuacaocao.com/Zm9lbmljdWx1bSB2dWxnYXJlLmpwZw==?imageView2/1/w/%d/h/%d;Europe;Flowering period June-July, fruiting period September-October;Flower color yellow, fruit yellow;Diameter at 10 cm, height at 15 cm;Soil with loose texture or soil with specific nutrients;Like sunshine, high quality fruits in sunny places;Resistant to drought, water thoroughly after soil surface dries, avoid saturated water;Dilute fertilizers following instructions, apply 1-2 times monthly;Remove aged tissues, dead, rotten, diseased leaves timely;5000;3500;50000;4000;35;5;80;30;60;15;2000;350;8.0;6.0
Bay Laurel;http://pkb.resource.huahuacaocao.com/bGF1cnVzIG5vYmlsaXMuanBn?imageView2/1/w/%d/h/%d;Mediterranean region;Flowering period March-May, fruiting period June-September;Flower color light yellow, fruit color purple brown;Diameter at 20 cm, height 20-30 cm;Deep, fertile, and well-drained loam or sandy loam;Like sunshine, resistant to half shade;2-3 times every week;Apply enough base fertilizers;Cut useless and excessively grown top branches, keep the height of the whole plant at about 3.5m;5800;2800;38000;2000;35;5;80;30;60;15;2000;350;7.5;6.0
Lovage;http://pkb.resource.huahuacaocao.com/bGV2aXN0aWN1bSBvZmZpY2luYWxlLmpwZw==?imageView2/1/w/%d/h/%d;Western Asia;Flowering period June-August, fruiting period August-September;Flower color yellow green;Diameter at 10 cm, height at 15 cm;Peat or soil with specific nutrients;Like shade environments, put in places with scattered light;Water thoroughly after soil surface dries, avoid saturated water;Dilute fertilizers following instructions, apply 1-2 times monthly;Remove aged tissues, dead and pest branches timely;2500;1200;6000;1500;32;8;80;30;60;15;2000;350;7.5;6.0
Lemon Balm;http://pkb.resource.huahuacaocao.com/bWVsaXNzYSBvZmZpY2luYWxpcy5qcGc=?imageView2/1/w/%d/h/%d;Former Soviet Union;Flowering period June-August;Flower color cream white, light blue;Diameter at 10 cm, height 15-18 cm;Soil with loose texture or soil with specific nutrients;Like sunshine, resistant to half shade;Water thoroughly after soil surface dries, avoid saturated water;Dilute fertilizers following instructions, apply 1-2 times monthly;Remove dead and pest-infested branches frequently;4500;2500;30000;3700;35;5;80;30;60;15;2000;350;7.5;6.0
Mint;http://pkb.resource.huahuacaocao.com/bWVudGhhIHggcGlwZXJpdGEuanBn?imageView2/1/w/%d/h/%d;Asia;Vanilla plants, flowering period July-September;Leaf color green , flower color light purple, white, pink;Diameter at 10 cm, height at 10 cm;Peat or soil with specific nutrients;Long-day plant, likes adequate sunshine, shade properly under summer noon strong light;Not resistant to drought, water thoroughly when soil is dry, water thoroughly when soil is dry, water every day in summer, every 2-3 days in other seasons;Need more fertilization, apply once every 10 days with nitrogen liquid fertilizers;Remove old diseased and dead leaves timely;6600;3600;60000;3000;32;8;80;30;60;15;2000;350;7.5;6.0
Basil;http://pkb.resource.huahuacaocao.com/b2NpbXVtIGJhc2lsaWN1bS5qcGc=?imageView2/1/w/%d/h/%d;Africa;Vanilla plants, flowering period July-September;Leaf color green , flower color light purple;Diameter at 10 cm, height at 10 cm;Peat or soil with specific nutrients;Likes adequate sunshine, shade properly under summer noon strong light;Water thoroughly when soil is dry;Dilute fertilizers following instructions, apply once monthly;Remove old diseased and dead leaves timely;6000;3600;60000;2500;32;8;80;30;60;15;2000;350;7.5;6.0
Marjoram;http://pkb.resource.huahuacaocao.com/b3JpZ2FudW0gbWFqb3JhbmEuanBn?imageView2/1/w/%d/h/%d;Europe;Flowering period June-October;Flower colorpink purple, white;height at 30 cm;Peat or soil with specific nutrients;Likes sunshine, put in sunny places, avoid strong sunlight in summer at noon;Water thoroughly when soil is dry, avoid saturated water;Dilute fertilizers following instructions, apply 1-2 times monthly;Remove aged tissues, dead and pest branches timely;4000;2000;20000;3700;32;8;80;30;60;15;2000;350;7.0;6.0
Oregano;http://pkb.resource.huahuacaocao.com/b3JpZ2FudW0gdnVsZ2FyZS5qcGc=?imageView2/1/w/%d/h/%d;Mediterranean coastal areas;Flowering period July-September, fruiting period October-December;Flower color purple red , light red, white;Diameter at 10 cm, height at 15 cm;Peat or soil with specific nutrients;Like adequate light, slight shade tolerance;Water thoroughly when soil is dry, avoid saturated water;Dilute fertilizers following instructions, apply 1-2 times monthly;Remove dead, rotten, diseased leaves and the parts that may affect the good appearance;5000;3500;50000;3500;35;8;80;30;60;15;2000;350;8.0;6.0
Parsley;http://pkb.resource.huahuacaocao.com/cGV0cm9zZWxpbnVtIGNyaXNwdW0uanBn?imageView2/1/w/%d/h/%d;Mediterranean coastal areas;Flowering period June, fruiting period July;Flower color white, leaf color gray brown;Diameter at 10 cm, height at 15 cm;Peat or soil with specific nutrients;Like adequate light;Likes wet environments, water thoroughly when soil is dry, avoid saturated water;Dilute fertilizers following instructions, apply 1-2 times monthly;Remove aged tissues, dead, rotten, diseased leaves timely;6200;2500;55000;2500;35;5;80;30;75;28;2000;100;7.0;6.0
Rosemary;http://pkb.resource.huahuacaocao.com/cm9zbWFyaW51cyBvZmZpY2luYWxpcy5qcGc=?imageView2/1/w/%d/h/%d;Europe;Vanilla plants, flowering period June-July;Leaf color green , flower color white, light blue;Diameter at 10 cm, height at 15 cm;Peat or soil with specific nutrients;Likes adequate sunshine, shade properly under summer noon strong light;Moderately resistant to drought, water thoroughly when soil is dry;Dilute fertilizers following instructions, apply once monthly;Remove old diseased and dead leaves timely;6000;3600;60000;3000;32;8;80;30;60;15;2000;350;7.5;6.0
Sorrel;http://pkb.resource.huahuacaocao.com/cnVtZXggYWNldG9zYS5qcGc=?imageView2/1/w/%d/h/%d;China;Flowering period May-July, fruiting period June-August;Flower color yellow green;Diameter at 10 cm, height 15-18 cm;Soil with loose texture or soil with specific nutrients;Like sunshine, resistant to half shade;Water thoroughly after soil surface dries, avoid saturated water;Need more fertilization, dilute fertilizers following instructions, apply 2-3 times monthly;Remove dead and pest-infested branches frequently;4500;2500;30000;3700;35;10;80;30;60;15;2000;350;7.0;5.5
