pid,display_pid,alias,image,floral_language,origin,production,category,blooming,color,size,soil,sunlight,watering,fertilization,pruning,max_light_mmol,min_light_mmol,max_light_lux,min_light_lux,max_temp,min_temp,max_env_humid,min_env_humid,max_soil_moist,min_soil_moist,max_soil_ec,min_soil_ec,German
ocimum basilicum,Ocimum basilicum,ocimum basilicum,http://pkb.resource.huahuacaocao.com/b2NpbXVtIGJhc2lsaWN1bS5qcGc=?imageView2/1/w/%d/h/%d,"Ocimum basilicum 
Floriography: warm-hearted, vigorous, kindly
Basil is a spice herb used for cooking or herbal medicine, 
Has long oval fresh green leaves with strong fragrant scents, flowers are arranged like a multi-layer tower. Leaves are edible, for cooking, herbal tea, or medicine with effects of calming and pain relieving. 
Likes sunny places, need shade properly under summer strong sunlight, flowering in July to September, paly purple flower color.",Africa,China,"Labiatae, Ocimum","Vanilla plants, flowering period July-September","Leaf color green , flower color light purple","Diameter â¥ 10 cm, height â¥ 10 cm",Peat or soil with specific nutrients,"Likes adequate sunshine, shade properly under summer noon strong light",Water thoroughly when soil is dry,"Dilute fertilizers following instructions, apply once monthly",Remove old diseased and dead leaves timely,6000,3600,60000,2500,32,8,80,30,60,15,2000,350,Basilikum
petroselinum crispum,Petroselinum crispum,parsley,http://pkb.resource.huahuacaocao.com/cGV0cm9zZWxpbnVtIGNyaXNwdW0uanBn?imageView2/1/w/%d/h/%d,,Mediterranean coastal areas,China,"Umbelliferae, Petroselinum","Flowering period June, fruiting period July","Flower color white, leaf color gray brown","Diameter â¥ 10 cm, height â¥ 15 cm",Peat or soil with specific nutrients,Like adequate light,"Likes wet environments, water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead, rotten, diseased leaves timely",6200,2500,55000,2500,35,5,80,30,75,28,2000,100,Petersilie
allium schoenoprasum,Allium schoenoprasum,allium oschaninii,http://pkb.resource.huahuacaocao.com/YWxsaXVtIHNjaG9lbm9wcmFzdW0uanBn?imageView2/1/w/%d/h/%d,,China,China,"Liliaceae, Allium",Flowering and fruiting period April-July,"Leaf color green , flower color purple","Diameter â¥ 10 cm, height â¥ 15 cm",Peat or soil with specific nutrients,"Like sunshine, avoid high temperature and direct exposure to the sun in summer","Resistant to drought, water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead, rotten, diseased leaves timely",7200,3000,50000,3500,35,8,80,30,60,15,2000,350,Schnittlauch
rosmarinus officinalis,Rosmarinus officinalis,rosemary,http://pkb.resource.huahuacaocao.com/cm9zbWFyaW51cyBvZmZpY2luYWxpcy5qcGc=?imageView2/1/w/%d/h/%d,"Rosmarinus officinalis
Floriography: warm-hearted, loyal, kind
Is a famous spice plant used for medicine and cooking. 
Rosemary leaves are linear shape, leathery, dark green, full of fragrant, is called ""dew of the sea"", to let sailors find lands for its strong fragrant. Used to extract essential oil for air refreshing.
Likes sunshine, shade properly under summer strong sunlight. Flowering in June-July. Flowers are white or pale blue.",Europe,China,"Labiatae, Rosmarinus","Vanilla plants, flowering period June-July","Leaf color green , flower color white, light blue","Diameter â¥ 10 cm, height â¥ 15 cm",Peat or soil with specific nutrients,"Likes adequate sunshine, shade properly under summer noon strong light","Moderately resistant to drought, water thoroughly when soil is dry","Dilute fertilizers following instructions, apply once monthly",Remove old diseased and dead leaves timely,6000,3600,60000,3000,32,8,80,30,60,15,2000,350,Rosmarin
rosmarinus officinalis 'prostratus',Rosmarinus officinalis 'Prostratus',rosemary,http://pkb.resource.huahuacaocao.com/cm9zbWFyaW51cyBvZmZpY2luYWxpcyAncHJvc3RyYXR1cycuanBn?imageView2/1/w/%d/h/%d,"Rosmarinus officinalis 'Prostratus'
Floriography: warm-hearted, loyal, kind
Is a famous spice plant used for medicine and cooking. 
Rosemary leaves are linear shape, leathery, dark green, full of fragrant, is called ""dew of the sea"", to let sailors find lands for its strong fragrant. Used to extract essential oil for air refreshing.
Likes sunshine, shade properly under summer strong sunlight. Flowering in June-July. Flowers are white or pale blue.",Europe,China,"Labiatae, Rosmarinus","Vanilla plants, flowering period June-July","Leaf color green , flower color white, light blue","Diameter â¥ 10 cm, height â¥ 15 cm",Peat or soil with specific nutrients,"Likes adequate sunshine, shade properly under summer noon strong light","Moderately resistant to drought, water thoroughly when soil is dry","Dilute fertilizers following instructions, apply once monthly",Remove old diseased and dead leaves timely,6000,3600,60000,3000,32,8,80,30,60,15,2000,350,Rosmarin
thymus vulgaris,Thymus vulgaris,thyme,http://pkb.resource.huahuacaocao.com/dGh5bXVzIHZ1bGdhcmlzLmpwZw==?imageView2/1/w/%d/h/%d,"Thymus vulgaris
Floriography: courageous, lucky, noble
Is a spice plant with a strong aromatic flavour, has small oval shaped leaves in fresh green, has culinary, medicinal, and ornamental uses.
Likes sunshine, suitable for sunny places, shade properly under summer strong sunlight, flowering in July-August, pink or purple color.",Southern Europe,China,"Labiatae, Thymus","Vanilla plants, flowering period July-August","Leaf color green , flower color purple, pink","Diameter â¥ 10 cm, height â¥ 10 cm",Peat or soil with specific nutrients,"Like sunshine, place under adequate light, shade properly under summer strong light","Resistant to drought, water thoroughly when soil is dry","Dilute fertilizers following instructions, dilute fertilizers following instructions,  in early summer, spring and autumn apply fertilizers once monthly",Remove old diseased and dead leaves timely,6000,4000,60000,4000,32,5,80,30,60,15,2000,350,Thymian
coriandrum sativum,Coriandrum sativum,coriander,http://pkb.resource.huahuacaocao.com/Y29yaWFuZHJ1bSBzYXRpdnVtLmpwZw==?imageView2/1/w/%d/h/%d,,Mediterranean coastal areas,China,"Umbelliferae, Coriandrum",Flowering and fruiting period April-November,"Flower color white or with light purple, leaf color green","Diameter â¥ 10 cm, height â¥ 15 cm",Peat or soil with specific nutrients,Grows in sunny places,"Likes wet environments, water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead, rotten, diseased leaves timely",5000,3500,50000,4000,30,5,80,30,60,15,2000,350,Koriander
coriandrum sativum l.,Coriandrum sativum L.,cilantro,http://pkb.resource.huahuacaocao.com/Y29yaWFuZHJ1bSBzYXRpdnVtIGwuLmpwZw==?imageView2/1/w/%d/h/%d,,Mediterranean coastal areas,China,"Umbelliferae, Coriandrum",Flowering and fruiting period April-November,"Flower color white or with light purple, leaf color green","Diameter â¥ 10 cm, height â¥ 15 cm","Peat or soil with specific nutrients, pH 5-7",Grows in sunny places and resistant to half shade,"Likes wet environments, water thoroughly when soil is dry, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead, rotten, diseased leaves timely",8200,3200,85000,2800,35,5,80,30,65,25,2000,100,Koriander
anethum graveolens,Anethum graveolens,anethum graveolens,http://pkb.resource.huahuacaocao.com/YW5ldGh1bSBncmF2ZW9sZW5zLmpwZw==?imageView2/1/w/%d/h/%d,,Mediterranean coastal areas,China,"Umbelliferae, Anethum","Flowering period May-August, flowering period July-September","Flower color yellow, fruit color brown","Diameter â¥ 15 cm, height â¥ 25 cm",Peat or soil with specific nutrients,"Like sunshine, grows in sunny places","Water thoroughly after soil surface dries, avoid saturated water","Dilute fertilizers following instructions, apply 1-2 times monthly","Remove aged tissues, dead, rotten, diseased leaves timely",5000,3500,50000,4000,35,5,80,30,60,15,2000,350,Dill
mentha aquatica,Mentha aquatica,mentha aquatica,http://pkb.resource.huahuacaocao.com/bWVudGhhIGFxdWF0aWNhLmpwZw==?imageView2/1/w/%d/h/%d,"Mentha aquatica
Floriography: virtuous, peaceful, optimistic
Is a famous spice plant for cooking and medicine. Has oval leaves in dark green, also a strong fragrant scent, used for spice in cooking, tea, or medicine with effects of calming and refreshing. 
Is a long-day plant, likes sunshine, shade properly under summer strong sunlight, flowering in July-September. Flowers are white, pink, or paly purple.",Asia,China,"Labiatae, Mentha","Vanilla plants, flowering period July-September","Leaf color green , flower color light purple, white, pink","Diameter â¥ 10 cm, height â¥ 10 cm",Peat or soil with specific nutrients,"Long-day plant, likes adequate sunshine, shade properly under summer noon strong light","Not resistant to drought, water thoroughly when soil is dry, water thoroughly when soil is dry, water every day in summer, every 2-3 days in other seasons","Need more fertilization, apply once every 10 days with nitrogen liquid fertilizers",Remove old diseased and dead leaves timely,6600,3600,60000,3000,32,8,80,30,60,15,2000,350,Minze
